id;name;acctcode
IGU6140001;[6140001] BY ENTERTAINMENT;6140001
IGU6145001;[6145001] BIAYA PENGHAPUSAN PIUTANG;6145001
IGU6210001;[6210001] GAJI KARYAWAN & UANG MAKAN;6210001
IGU6210002;[6210002] TUNJANGAN HARI RAYA;6210002
IGU6210003;[6210003] PESANGON;6210003
IGU6210004;[6210004] BPJS KESEHATAN;6210004
IGU6210005;[6210005] GAJI CIKUPA;6210005
IGU6210006;[6210006] PESANGON CIKUPA;6210006
IGU6211001;[6211001] BEBAN IMBALAN KERJA;6211001
IGU6215001;[6215001] BY. TELEPON;6215001
IGU6215002;[6215002] BY. FAX;6215002
IGU6215003;[6215003] BY. INTERNET;6215003
IGU6220001;[6220001] BY. LISTRIK;6220001
IGU6220002;[6220002] BY. PAM;6220002
IGU6225001;[6225001] CETAKAN / SURAT;6225001
IGU6225002;[6225002] ALAT TULIS KANTOR;6225002
IGU6225003;[6225003] BENDA POS;6225003
IGU6230001;[6230001] BRP BANGUNAN/GEDUNG;6230001
IGU6230002;[6230002] BRP PERALATAN GUDANG;6230002
IGU6230003;[6230003] BRP PERALATAN KANTOR;6230003
IGU6230004;[6230004] BRP KENDARAAN;6230004
IGU6230005;[6230005] BRP INSTALASI;6230005
IGU6235001;[6235001] BY. ASURANSI GEDUNG;6235001
IGU6235002;[6235002] BY. ASURANSI BARANG;6235002
IGU6235003;[6235003] BY. ASURANSI KENDARAAN;6235003
IGU6235004;[6235004] BPJS KETENAGAKERJAAN;6235004
IGU6240001;[6240001] BY. PENYUSUTAN BANGUNAN/GEDUNG;6240001
IGU6240002;[6240002] BY. PENYUSUTAN PERALATAN GUDANG;6240002
IGU6240003;[6240003] BY. PENYUSUTAN PERALATAN KANTOR;6240003
IGU6240004;[6240004] BY. PENYUSUTAN KENDARAAN;6240004
IGU6240005;[6240005] BY. PENYUSUTAN INSTALASI;6240005
IGU6245001;[6245001] BY. JASA / PROFESIONAL;6245001
IGU6250001;[6250001] BY. IURAN;6250001
IGU6250002;[6250002] BY. ENTERTAINMENT/EKSTRA;6250002
IGU6255001;[6255001] BY. PERIJINAN;6255001
IGU6255002;[6255002] BY. PBB;6255002
IGU6260001;[6260001] BIAYA. BANK;6260001
IGU6265001;[6265001] BY. PERLENGKAPAN COLD STORAGE/KANTOR;6265001
IGU6265002;[6265002] BY. RUMAH TANGGA;6265002
IGU6270001;[6270001] BIAYA SEWA;6270001
IGU6275001;[6275001] BY. IMPORT;6275001
IGU6280001;[6280001] BY. PENDIDIKAN & PELATIHAN;6280001
IGU6285001;[6285001] BY. PAJAK;6285001
IGU6285002;[6285002] BY. PPH FINAL;6285002
IGU6290001;[6290001] BY. BUNGA;6290001
IGU6295001;[6295001] BY. KANTOR;6295001
IGU6296001;[6296001] ---;6296001
IGU7110001;[7110001] PEND. SELISIH KURS;7110001
IGU7110002;[7110002] PEND. ONGKOS KIRIM n DRY ICE;7110002
IGU7110003;[7110003] PEND. JASA GIRO;7110003
IGU7110004;[7110004] PEND. HANDLING;7110004
IGU7110005;[7110005] PENDAPATAN KOMISI/PROMOSI/INSENTIVE;7110005
IGU7110006;[7110006] ---------;7110006
IGU7110007;[7110007] PENDAPATAN SEHUBUNGAN DENGAN PENGGUNAAN HARTA;7110007
IGU7110008;[7110008] PENDAPATAN SEWA TANAH DAN BANGUNAN;7110008
IGU7110010;[7110010] PENDAPATAN LAIN-LAIN;7110010
IGU7110011;[7110011] PENDAPATAN PENJUALAN AKTIVA;7110011
IGU7210001;[7210001] PENDAPATAN PAJAK TANGGUHAN;7210001
IGU7310001;[7310001] PENDAPATAN KOMPREHENSIF LAIN;7310001
IGU8110001;[8110001] BY. SELISIH KURS;8110001
IGU8110002;[8110002] BEBAN KEUANGAN;8110002
IGU8110003;[8110003] NILAI BUKU AKTIVA YANG DIJUAL;8110003
IGU8110010;[8110010] BY. LAIN-LAIN;8110010
IGU8210001;[8210001] BEBAN KEUANGAN;8210001
